cuda_line,cuda_source,sass_addr,sass_text,warp_stall_all,warp_stall_not_issued,sample_count,inst_executed,thread_inst_executed,thread_inst_pred_on,avg_threads,avg_threads_pred_on,divergent_branches,address_space,access_operation,access_size,l1_tag_global,l1_conflicts_nway,l2_sectors_excess,l2_sectors_global,l2_sectors_ideal,l2_evict_policies,l2_hit_evict_first,l2_hit_evict_last,l2_hit_evict_normal,l2_hit_evict_normal_demote,l2_miss_evict_first,l2_miss_evict_normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier_ni,stall_branch_resolving_ni,stall_dispatch_ni,stall_drain_ni,stall_imc_ni,stall_lg_ni,stall_long_sb_ni,stall_math_ni,stall_membar_ni,stall_mio_ni,stall_misc_ni,stall_no_inst_ni,stall_not_selected_ni,stall_selected_ni,stall_short_sb_ni,stall_sleeping_ni,stall_tex_ni,stall_wait_ni
7,int row = blockIdx.y * blockDim.y + threadIdx.y;,0x2021550c0,"ISETP.GE.OR P0, PT, R21, c[0x0][0x178], P0",1,0,1,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,int col = blockIdx.x * blockDim.x + threadIdx.x;,0x202155050,"S2R R0, SR_CTAID.X",2,1,2,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,int col = blockIdx.x * blockDim.x + threadIdx.x;,0x202155060,"S2R R3, SR_TID.X",5,3,5,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8,int col = blockIdx.x * blockDim.x + threadIdx.x;,0x202155090,"IMAD R0, R0, c[0x0][0x0], R3",4,3,4,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10,if (row < n && col < n) {,0x2021550a0,"ISETP.GE.AND P0, PT, R0, c[0x0][0x178], PT",1,0,1,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,if (row < n && col < n) {,0x2021550d0,@P0   EXIT,2,1,2,8192,262144,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,for (int k = 0; k < n; k++) {,0x2021550e0,"MOV R19, c[0x0][0x178]",2,1,2,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,for (int k = 0; k < n; k++) {,0x2021550f0,"ULDC.64 UR4, c[0x0][0x118]",1,0,1,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155100,"HFMA2.MMA R34, -RZ, RZ, 0, 0",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,for (int k = 0; k < n; k++) {,0x202155110,"IMAD R21, R21, c[0x0][0x178], RZ",0,0,0,8192,262144,262144,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
